


     2-D ITERATION BEHAVIOR

   IT    X-RES      Y-RES

    1 0.4117E+00 0.1181E+00
    2 0.1964E+00 0.8078E-04
    3 0.1625E+00 0.7666E-04
    4 0.1471E+00 0.2964E-04
    5 0.1383E+00 0.2723E-04
    6 0.1329E+00 0.1646E-04
    7 0.1294E+00 0.1478E-04
    8 0.1272E+00 0.1089E-04
    9 0.1258E+00 0.9592E-05
   10 0.1249E+00 0.9602E-05
   11 0.1243E+00 0.9619E-05
   12 0.1240E+00 0.9643E-05
   13 0.1238E+00 0.9673E-05
   14 0.1236E+00 0.9708E-05
   15 0.1236E+00 0.9745E-05
   16 0.1235E+00 0.9785E-05
   17 0.1235E+00 0.9826E-05
   18 0.1235E+00 0.9867E-05
   19 0.1235E+00 0.9908E-05
   20 0.1235E+00 0.9949E-05
   21 0.1234E+00 0.9989E-05
   22 0.1234E+00 0.1003E-04
   23 0.1234E+00 0.1007E-04
   24 0.1233E+00 0.1011E-04
   25 0.1233E+00 0.1015E-04
   26 0.1232E+00 0.1019E-04
   27 0.1232E+00 0.1022E-04
   28 0.1231E+00 0.1026E-04
   29 0.1230E+00 0.1060E-04
   30 0.1229E+00 0.1033E-04
   31 0.1228E+00 0.1037E-04
   32 0.1227E+00 0.1041E-04
   33 0.1226E+00 0.1044E-04
   34 0.1225E+00 0.1133E-04
   35 0.1224E+00 0.1142E-04
   36 0.1223E+00 0.1142E-04
   37 0.1221E+00 0.1140E-04
   38 0.1220E+00 0.1138E-04
   39 0.1219E+00 0.1135E-04
   40 0.1217E+00 0.1130E-04
   41 0.1216E+00 0.1121E-04
   42 0.1214E+00 0.1105E-04
   43 0.1212E+00 0.1076E-04
   44 0.1211E+00 0.1079E-04
   45 0.1209E+00 0.1082E-04
   46 0.1207E+00 0.1085E-04
   47 0.1205E+00 0.1087E-04
   48 0.1203E+00 0.1164E-04
   49 0.1201E+00 0.1186E-04
   50 0.1199E+00 0.1189E-04
   51 0.1197E+00 0.1191E-04
   52 0.1195E+00 0.1192E-04
   53 0.1193E+00 0.1193E-04
   54 0.1191E+00 0.1194E-04
   55 0.1188E+00 0.1195E-04
   56 0.1186E+00 0.1195E-04
   57 0.1184E+00 0.1196E-04
   58 0.1181E+00 0.1197E-04
   59 0.1179E+00 0.1198E-04
   60 0.1176E+00 0.1199E-04
   61 0.1174E+00 0.1199E-04
   62 0.1171E+00 0.1200E-04
   63 0.1169E+00 0.1201E-04
   64 0.1166E+00 0.1201E-04
   65 0.1163E+00 0.1202E-04
   66 0.1160E+00 0.1202E-04
   67 0.1158E+00 0.1203E-04
   68 0.1155E+00 0.1203E-04
   69 0.1152E+00 0.1203E-04
   70 0.1149E+00 0.1204E-04
   71 0.1146E+00 0.1204E-04
   72 0.1143E+00 0.1204E-04
